entryno.,value,timestamp,timeperiod,OUDstreaktype,OUDstreakno.
142,126913,2017-06-12 10:53:51,20170601010210,2,3
143,126913,2017-06-12 10:53:52,20170601010210,2,4
144,126913,2017-06-12 10:53:54,20170601010210,2,5
145,126913,2017-06-12 10:53:55,20170601010210,2,6
146,126913,2017-06-12 10:53:56,20170601010210,2,7
147,126913,2017-06-12 10:53:58,20170601010210,2,8
148,126913,2017-06-12 10:53:59,20170601010210,2,9
149,126913,2017-06-12 10:54:00,20170601010210,2,10
150,126913,2017-06-12 10:54:02,20170601010210,2,11
151,126913,2017-06-12 10:54:03,20170601010210,2,12
152,126913,2017-06-12 10:54:04,20170601010210,2,13
153,126913,2017-06-12 10:54:06,20170601010210,2,14
154,126913,2017-06-12 10:54:07,20170601010210,2,15
155,126913,2017-06-12 10:54:08,20170601010210,2,16
156,126913,2017-06-12 10:54:09,20170601010210,2,17
157,126913,2017-06-12 10:54:11,20170601010210,2,18
158,126913,2017-06-12 10:54:12,20170601010210,2,19
159,126913,2017-06-12 10:54:13,20170601010210,2,20
160,126913,2017-06-12 10:54:15,20170601010210,2,21
161,126913,2017-06-12 10:54:16,20170601010210,2,22
162,126913,2017-06-12 10:54:17,20170601010210,2,23
163,126913,2017-06-12 10:54:19,20170601010210,2,24
164,126912,2017-06-12 10:54:20,20170601010210,1,0
165,126914,2017-06-12 10:54:21,20170601010210,0,0
166,126912,2017-06-12 10:54:22,20170601010210,1,0
167,126912,2017-06-12 10:54:24,20170601010210,2,0
168,126912,2017-06-12 10:54:25,20170601010210,2,1
169,126912,2017-06-12 10:54:26,20170601010210,2,2
170,126914,2017-06-12 10:54:28,20170601010210,0,0
171,126913,2017-06-12 10:54:29,20170601010210,1,0
172,126913,2017-06-12 10:54:30,20170601010210,2,0
173,126913,2017-06-12 10:54:31,20170601010210,2,1
174,126913,2017-06-12 10:54:33,20170601010210,2,2
175,126914,2017-06-12 10:54:34,20170601010210,0,0
176,126913,2017-06-12 10:54:35,20170601010210,1,0
177,126912,2017-06-12 10:54:37,20170601010210,1,1
178,126912,2017-06-12 10:54:38,20170601010210,2,0
179,126912,2017-06-12 10:54:39,20170601010210,2,1
180,126912,2017-06-12 10:54:40,20170601010210,2,2
181,126912,2017-06-12 10:54:42,20170601010210,2,3
182,126923,2017-06-12 10:54:43,20170601010210,0,0
183,126912,2017-06-12 10:54:44,20170601010210,1,0
184,126921,2017-06-12 10:54:46,20170601010210,0,0
185,126921,2017-06-12 10:54:47,20170601010210,2,0
186,126923,2017-06-12 10:54:48,20170601010210,0,0
187,126923,2017-06-12 10:54:49,20170601010210,2,0
188,126923,2017-06-12 10:54:50,20170601010210,2,1
189,126913,2017-06-12 10:54:50,20170601010210,1,0
190,126923,2017-06-12 10:54:51,20170601010210,0,0
191,126913,2017-06-12 10:54:52,20170601010210,1,0
192,126913,2017-06-12 10:54:53,20170601010210,2,0
193,126913,2017-06-12 10:54:54,20170601010210,2,1
194,126921,2017-06-12 10:54:54,20170601010210,0,0
195,126913,2017-06-12 10:54:55,20170601010210,1,0
196,126913,2017-06-12 10:54:56,20170601010210,2,0
197,126913,2017-06-12 10:54:57,20170601010210,2,1
198,126921,2017-06-12 10:54:58,20170601010210,0,0
199,126912,2017-06-12 10:54:58,20170601010210,1,0
200,126913,2017-06-12 10:54:59,20170601010210,0,0
201,126913,2017-06-12 10:55:00,20170601010210,2,0
202,126913,2017-06-12 10:55:01,20170601010210,2,1
203,126913,2017-06-12 10:55:02,20170601010210,2,2
204,126913,2017-06-12 10:55:02,20170601010210,2,3
205,126913,2017-06-12 10:55:03,20170601010210,2,4
206,126913,2017-06-12 10:55:04,20170601010210,2,5
207,126913,2017-06-12 10:55:05,20170601010210,2,6
208,126912,2017-06-12 10:55:06,20170601010210,1,0
209,126913,2017-06-12 10:55:07,20170601010210,0,0
210,126913,2017-06-12 10:55:07,20170601010210,2,0
211,126913,2017-06-12 10:55:08,20170601010210,2,1
212,126913,2017-06-12 10:55:09,20170601010210,2,2
213,126913,2017-06-12 10:55:10,20170601010210,2,3
214,126913,2017-06-12 10:55:11,20170601010210,2,4
215,126916,2017-06-12 10:55:12,20170601010210,0,0
216,126913,2017-06-12 10:55:14,20170601010210,1,0
217,126913,2017-06-12 10:55:15,20170601010210,2,0
218,126916,2017-06-12 10:55:16,20170601010210,0,0
219,126916,2017-06-12 10:55:17,20170601010210,2,0
220,126916,2017-06-12 10:55:17,20170601010210,2,1
221,126916,2017-06-12 10:55:18,20170601010210,2,2
222,126916,2017-06-12 10:55:19,20170601010210,2,3
223,126916,2017-06-12 10:55:20,20170601010210,2,4
224,126916,2017-06-12 10:55:21,20170601010210,2,5
225,126916,2017-06-12 10:55:21,20170601010210,2,6
226,126916,2017-06-12 10:55:22,20170601010210,2,7
227,126916,2017-06-12 10:55:23,20170601010210,2,8
228,126922,2017-06-12 10:55:24,20170601010210,0,0
229,126922,2017-06-12 10:55:25,20170601010210,2,0
230,126922,2017-06-12 10:55:26,20170601010210,2,1
231,126922,2017-06-12 10:55:26,20170601010210,2,2
232,126922,2017-06-12 10:55:27,20170601010210,2,3
233,126922,2017-06-12 10:55:28,20170601010210,2,4
234,126922,2017-06-12 10:55:29,20170601010210,2,5
235,126922,2017-06-12 10:55:30,20170601010210,2,6
236,126922,2017-06-12 10:55:30,20170601010210,2,7
237,126922,2017-06-12 10:55:31,20170601010210,2,8
238,126940,2017-06-12 10:55:32,20170601010210,0,0
239,126940,2017-06-12 10:55:33,20170601010210,2,0
240,126940,2017-06-12 10:55:34,20170601010210,2,1
241,126940,2017-06-12 10:55:34,20170601010210,2,2
242,126940,2017-06-12 10:55:35,20170601010210,2,3
243,126940,2017-06-12 10:55:36,20170601010210,2,4
244,126940,2017-06-12 10:55:37,20170601010210,2,5
245,126940,2017-06-12 10:55:38,20170601010210,2,6
246,126927,2017-06-12 10:55:39,20170601010210,1,0
247,126941,2017-06-12 10:55:39,20170601010210,0,0
248,126941,2017-06-12 10:55:40,20170601010210,2,0
249,126927,2017-06-12 10:55:41,20170601010210,1,0
250,126927,2017-06-12 10:55:42,20170601010210,2,0
251,126927,2017-06-12 10:55:43,20170601010210,2,1
252,126927,2017-06-12 10:55:43,20170601010210,2,2
253,126927,2017-06-12 10:55:44,20170601010210,2,3
254,126927,2017-06-12 10:55:45,20170601010210,2,4
255,126927,2017-06-12 10:55:45,20170601010210,2,5
256,126927,2017-06-12 10:55:46,20170601010210,2,6
257,126927,2017-06-12 10:55:47,20170601010210,2,7
258,126926,2017-06-12 10:55:48,20170601010210,1,0
259,126926,2017-06-12 10:55:49,20170601010210,2,0
260,126926,2017-06-12 10:55:50,20170601010210,2,1
261,126926,2017-06-12 10:55:50,20170601010210,2,2
262,126926,2017-06-12 10:55:51,20170601010210,2,3
263,126926,2017-06-12 10:55:52,20170601010210,2,4
264,126926,2017-06-12 10:55:53,20170601010210,2,5
265,126926,2017-06-12 10:55:53,20170601010210,2,6
266,126917,2017-06-12 10:55:54,20170601010210,1,0
267,126926,2017-06-12 10:55:55,20170601010210,0,0
268,126917,2017-06-12 10:55:56,20170601010210,1,0
269,126917,2017-06-12 10:55:56,20170601010210,2,0
270,126917,2017-06-12 10:55:57,20170601010210,2,1
271,126917,2017-06-12 10:55:58,20170601010210,2,2
272,126917,2017-06-12 10:55:59,20170601010210,2,3
273,126917,2017-06-12 10:56:00,20170601010210,2,4
274,126917,2017-06-12 10:56:01,20170601010210,2,5
275,126917,2017-06-12 10:56:02,20170601010210,2,6
276,126917,2017-06-12 10:56:03,20170601010210,2,7
277,126917,2017-06-12 10:56:04,20170601010210,2,8
